"S.N","Scrip","Current Balance","Previous Closing Price","Value as of Previous Closing Price","Last Transaction Price (LTP)","Value as of LTP"
"1","ACLBSL","30.0","1180.0","35400.00","1180.0","35400.00"
"2","ADBL","153.0","293.1","44844.30","293.1","44844.30"
"3","AHPC","185.0","263.8","48803.00","263.8","48803.00"
"4","AKPL","210.0","232.4","48804.00","232.4","48804.00"
"5","BNHC","100.0","569.0","56900.00","569.0","56900.00"
"6","CKHL","10.0","835.0","8350.00","835.0","8350.00"
"7","GBIME","57.0","218.0","12426.00","218.0","12426.00"
"8","GLH","200.0","260.1","52020.00","260.1","52020.00"
"9","HRL","10.0","844.0","8440.00","844.0","8440.00"
"10","ILI","12.0","496.0","5952.00","496.0","5952.00"
"11","JBLB","14.0","1390.1","19461.40","1390.1","19461.40"
"12","KMCDB","30.0","1179.0","35370.00","1179.0","35370.00"
"13","KSBBL","89.0","450.0","40050.00","450.0","40050.00"
"14","MEL","10.0","364.0","3640.00","364.0","3640.00"
"15","MLBL","156.0","405.0","63180.00","405.0","63180.00"
"16","NABIL","100.0","485.5","48550.00","485.5","48550.00"
"17","NHPC","328.0","217.5","71340.00","217.5","71340.00"
"18","NLIC","50.0","712.0","35600.00","712.0","35600.00"
"19","NMB","112.0","239.8","26857.60","239.8","26857.60"
"20","PCBL","208.0","239.0","49712.00","239.0","49712.00"
"21","PHCL","10.0","649.8","6498.00","649.8","6498.00"
"22","RHGCL","10.0","681.0","6810.00","681.0","6810.00"
"23","SCB","7.0","658.0","4606.00","658.0","4606.00"
"24","SGHC","10.0","612.0","6120.00","612.0","6120.00"
"25","SICL","134.0","754.9","101156.60","754.9","101156.60"
"26","SMFBS","36.0","1972.0","70992.00","1972.0","70992.00"
"27","SMJC","10.0","586.0","5860.00","586.0","5860.00"
"28","SONA","10.0","458.8","4588.00","458.8","4588.00"
"29","SWBBL","61.0","910.0","55510.00","910.0","55510.00"
"30","UMHL","80.0","397.0","31760.00","397.0","31760.00"
"Total :"," "," "," ","1009600.90"," ","1009600.90"
